side,kind,cs_offset,proposed_name,confidence,evidence
left,dispatcher,024F,control_dispatcher,high,"Tests robot-mode bit 0, then selects the human dispatcher or robot decision path."
left,action,02AA,rotate_clockwise,high,"Human press leaf stores clockwise rotation command +2."
left,action,02B6,rotate_counterclockwise,high,"Human press leaf stores counter-clockwise rotation command -2; Phase 3 also reached this leaf from A."
left,action,02C2,transfer_weapon_to_shield,high,"Moves one energy unit from weapon to shield when the shared tick is divisible by four."
left,action,02E1,transfer_shield_to_weapon,high,"Moves one energy unit from shield to weapon when the shared tick is divisible by four."
left,action,0300,fire_phaser,high,"Checks phaser state and weapon energy, consumes one energy unit, and starts phaser state 0x18; Phase 3 also reached this leaf from Q."
left,action,0320,fire_photon,high,"Checks the photon latch and allocates a free projectile slot."
left,action,034E,enable_impulse,high,"Sets action-flag bit 0."
left,action,0361,enable_cloak,high,"Sets action-flag bit 1."
left,action,0374,trigger_hyperspace,high,"Checks the hyperspace latch and consumes eight energy units before entering hyperspace."
left,robot_entry,038E,robot_decision,high,"Selected by the left dispatcher when robot-mode bit 0 is set."
left,decision,03B2,scan_right_projectile_threats,high,"Scans right projectile slots 10 through 1E and accepts the first active threat with raw absolute X and Y deltas below 0x60."
left,decision,046C,commit_aim,high,"Clears the rotation command, directly stores the calculated angle, and marks the left ship dirty."
left,random_gate,0484,random_impulse_gate,high,"Calls the shared generator and enables impulse when AL is below 0x10."
left,random_gate,0494,random_hyperspace_gate,high,"Calls the shared generator and requests hyperspace when AX masked by 0x03FF is zero."
right,dispatcher,04A6,control_dispatcher,high,"Tests robot-mode bit 1, then selects the human dispatcher or robot decision path."
right,action,0501,rotate_clockwise,high,"Human press leaf stores clockwise rotation command +2."
right,action,050D,rotate_counterclockwise,high,"Human press leaf stores counter-clockwise rotation command -2."
right,action,0519,transfer_weapon_to_shield,high,"Moves one energy unit from weapon to shield when the shared tick is divisible by four."
right,action,0538,transfer_shield_to_weapon,high,"Moves one energy unit from shield to weapon when the shared tick is divisible by four."
right,action,0557,fire_phaser,high,"Checks phaser state and weapon energy, consumes one energy unit, and starts phaser state 0x18."
right,action,0577,fire_photon,high,"Checks the photon latch and allocates a free projectile slot."
right,action,05A5,enable_impulse,high,"Sets action-flag bit 0."
right,action,05B8,enable_cloak,high,"Sets action-flag bit 1."
right,action,05CB,trigger_hyperspace,high,"Checks the hyperspace latch and consumes eight energy units before entering hyperspace."
right,robot_entry,05E5,robot_decision,high,"Selected by the right dispatcher when robot-mode bit 1 is set."
right,decision,0677,commit_aim,high,"Clears the rotation command, directly stores the calculated angle, and marks the right ship dirty."
right,random_gate,06B0,random_impulse_gate,high,"Calls the shared generator and enables impulse when AL is below 0x10."
right,random_gate,06C0,random_weapon_gate,high,"Calls the shared generator; AL below 8 chooses a weapon by proximity, while other values release both weapon actions."
right,random_gate,06E4,random_hyperspace_gate,high,"Calls the shared generator and requests hyperspace when AX masked by 0x03FF is zero."
