load_module_offset,cs_offset,proposed_name,subsystem,confidence,evidence
0x2AB0,0x0000,program_entry,platform,high,"Establishes DS, checks CGA memory, programs PIT, installs keyboard vector, and enters frontend"
0x2B45,0x0095,shutdown_and_exit,platform,high,"Restores interrupt vectors, PIT divisor, stack, video mode, and DOS termination path"
0x2B6C,0x00BC,enter_game,control,high,"Resets stack, initializes game state and keyboard table, installs gameplay timer, then falls into foreground loop"
0x2B7D,0x00CD,game_foreground_loop,control,high,"Processes controls, dirty render state, collisions, destruction effects, pause and sound keys, round outcome, and redraw"
0x2CDE,0x022E,snapshot_object_render_state,state,high,"Copies current position and angle to previous-render fields under CLI and clears dirty flag"
0x2CFF,0x024F,update_left_player_controls,input,high,"Selects robot logic or dispatches nine configured keyboard actions through call tables"
0x2F56,0x04A6,update_right_player_controls,input,high,"Mirrors the left control routine for the second player's state and key bindings"
0x31A6,0x06F6,trigger_left_hyperspace,gameplay,medium-high,"Consumes eight energy units and chooses random replacement coordinates for left player"
0x3209,0x0759,trigger_right_hyperspace,gameplay,medium-high,"Mirrors left hyperspace logic for right player"
0x32AC,0x07FC,round_end_animation,frontend,medium,"Draws an animated outcome sequence before returning to frontend"
0x33AF,0x08FF,update_destroyed_entity_effects,gameplay,medium-high,"Walks negative-state slots, advances bounded destruction counters and sound state, and draws the associated effect"
0x33F0,0x0940,enter_frontend,control,high,"Resets frontend state, clears screen, initializes keyboard and menu timer, then cycles attract screens"
0x343E,0x098E,render_title_and_copyright,frontend,medium-high,"Draws title and copyright content using inline data"
0x34CC,0x0A1C,initialize_starfield_positions,frontend,high,"Copies 90 initial star positions and clears fractional components"
0x34F3,0x0A43,initialize_starfield_velocities,frontend,high,"Assigns random signed velocity components to 90 stars"
0x3537,0x0A87,animate_starfield,frontend,high,"XOR-erases, advances fixed-point star positions, and redraws 90 stars"
0x3582,0x0AD2,render_game_keys_screen,frontend,high,"Draws left and right player key assignments and action labels"
0x3999,0x0EE9,render_instructions_screen,frontend,high,"Draws the embedded game instructions"
0x3D68,0x12B8,render_distribution_screen,frontend,high,"Draws the embedded user-supported distribution message"
0x404A,0x159A,render_frontend_options,frontend,high,"Draws and updates EXIT PLAY ROBOT PLANET GRAVITY PAUSE and sound choices"
0x41DD,0x172D,frontend_timer_isr,interrupts,high,"Maintains BIOS time, animates frontend planet, polls F1-F8 state, and performs mode transitions"
0x4330,0x1880,install_frontend_timer_isr,interrupts,high,"Writes CS:172D into interrupt vector 8"
0x4345,0x1895,wait_while_paused,control,high,"Waits until the shared pause flag clears"
0x4350,0x18A0,resolve_foreground_collisions,gameplay,high,"Resolves ship response, opposing pool collisions, projectile collisions, and optional planet contact from the foreground loop"
0x4516,0x1A66,scan_collision_targets,gameplay,high,"Walks one caller-bounded even-index slot range, deactivates collided entities, and applies side-specific damage"
0x4561,0x1AB1,test_entity_proximity,gameplay,high,"Requires two positive entity states and compares raw absolute X and Y differences against the caller's bound"
0x45AC,0x1AFC,xor_pixel,rendering,high,"Converts 640x200 coordinates through scanline table and XORs one CGA pixel bit"
0x45CA,0x1B1A,xor_sprite,rendering,high,"XOR-blits multirow sprite data into interleaved CGA memory with wraparound"
