scope,ds_offset,normalized_field,proposed_type,indexing,robot_access,initial_or_embedded_value,confidence,evidence
shared,1076,robot_mode_flags,uint8,scalar,"Dispatch reads bit 0 for left and bit 1 for right.",00,high,"Image byte and F3/F4 toggle instructions."
shared,1080,timer_tick,uint8,scalar,"Energy helpers test bits 0 and 1; robot actions and cooldowns are otherwise foreground driven.","process 00; not round-reset",high,"Image byte and game-timer increment; outside the round-state copy."
left,0D1C,position_x_integer,uint16,slot_00,"Read as the defended ship position or right robot target.",00A0,high,"Round template and word reads in both bearing paths."
right,0D2C,position_x_integer,uint16,slot_10,"Read as the projectile origin or pursuing ship position.",01E0,high,"Round template and word reads in both bearing paths."
left,0D3C,position_y_integer,uint16,slot_00,"Read as the defended ship position or right robot target.",002E,high,"Round template and word reads in both bearing paths."
right,0D4C,position_y_integer,uint16,slot_10,"Read as the projectile origin or pursuing ship position.",008A,high,"Round template and word reads in both bearing paths."
left,0E1C,render_dirty,uint8,slot_00,"Set after a changed robot aim.",00,high,"Direct byte update at CS:047C."
right,0E2C,render_dirty,uint8,slot_10,"Set after a changed robot aim.",00,high,"Direct byte update at CS:0687."
left,0E3C,entity_state,int8,slot_00,"Dispatcher requires a positive value; left threat scan also filters projectile entries.",01,high,"Foreground eligibility tests and left projectile scan."
right,0E4C,entity_state,int8,slot_10,"Dispatcher requires a positive value; the left scan checks this ship before the following projectile slots.",01,high,"Foreground eligibility tests and left entity scan."
left,0E5C,angle,uint8,slot_00,"Robot writes a quantized target bearing directly.",00,high,"Byte load/store at CS:0471..0479."
right,0E6C,angle,uint8,slot_10,"Robot writes a quantized target bearing directly.",80,high,"Byte load/store at CS:067C..0684."
left,0E9C,rotation_command,int8,slot_00,"Robot clears it before committing aim.",00,high,"Direct byte store at CS:046C."
right,0EAC,rotation_command,int8,slot_10,"Robot clears it before committing aim.",00,high,"Direct byte store at CS:0677."
left,0EBC,action_flags,uint8,slot_00,"Robot uses bit 0 for impulse; bit 1 cloak is never selected.",00,high,"Action helpers and timer tests."
right,0ECC,action_flags,uint8,slot_10,"Robot uses bit 0 for impulse; bit 1 cloak is never selected.",00,high,"Action helpers and timer tests."
left,0EDC,action_latches,uint8,slot_00,"Robot uses bit 1 to edge-trigger hyperspace; bit 0 gates photon but is unused by the left robot.",00,high,"Action press/release helpers."
right,0EEC,action_latches,uint8,slot_10,"Robot uses bit 0 to edge-trigger photon and bit 1 to edge-trigger hyperspace.",00,high,"Action press/release helpers."
left,0EFC,shield_energy,uint8,slot_00,"Compared with weapon energy and balanced toward equality.",1F,high,"Round template and transfer helpers."
right,0F0C,shield_energy,uint8,slot_10,"Compared with weapon energy and balanced toward equality.",1F,high,"Round template and transfer helpers."
left,0F1C,weapon_energy,uint8,slot_00,"Gates and funds robot actions; balanced against shield energy.",7F,high,"Round template, decision branch, action helpers, and timer."
right,0F2C,weapon_energy,uint8,slot_10,"Gates and funds robot actions; balanced against shield energy.",7F,high,"Round template, decision branch, action helpers, and timer."
left,0F7C,phaser_state,int8,slot_00,"Negative means ready; a successful shot sets 18 and the timer counts down.",FF,high,"Round template, phaser helper, foreground effect start, and timer cooldown."
right,0F8C,phaser_state,int8,slot_10,"Negative means ready; a successful shot sets 18 and the timer counts down.",FF,high,"Round template, phaser helper, foreground effect start, and timer cooldown."
shared,2250,bearing_thresholds,uint16[32],scalar,"Maps an absolute-axis fixed-point ratio to one of 32 steps within a quadrant.",embedded,high,"Validated complete word table and both duplicated bearing calculations."
